cdid,digitalCommonsURL,digitalCommonsPdfURL,persistentID,circuit,court,state,stateClaim,judge,judgeFullName,judgeFirstName,judgeMiddleName,judgeLastName,judgeSuffix,lawsuitFiledYear,lawsuitFiledDate,cdFiledYear,cdSignedYear,cdFiledDate,caseNumber,versionNumber,caseName,cdSignedDate,effectiveDate,durationNumberOfYears,durationText,plaintiffsAttorneysFees,internComments,cdCreateDate,lastModifiedDate,lastModifiedBy,hidden,hiddenDate
193,http://digitalcommons.ilr.cornell.edu/condec/214/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1213&amp;context=condec,C-79-1261-TEH-1,9th,United States District Court Northern District of California,California,False,,Thelton E. Henderson,Thelton,E.,Henderson,,1979,1979-06-01 00:00:00,Unknown,1988,,C-79-1261 TEH,1,"Kraszewski, Jackson, and Tipton v. State Farm General Insurance Company, State Farm Mutual Automobile Insurance Company, State Farm Life Insurance Company, and State Farm Fire and Casualty Company (Injunctive Relief)",1988-01-13 00:00:00,"IV. EFFECTIVE DATE AND DURATION OF DECREE 
This Decree shall become effective on January 1, 1988. Such date shall hereinafter be referred to as the ""effective date"" of this Decree. Upon approval by the Court, this Decree shall be effective and binding upon the parties in accordance with the specific provisions set forth in Section VII.E, infra, and the terms of this Decree shall not be appealed by class counsel or counsel for State Farm.  (Page, 5)",10,,"IX. ATTORNEYS' FEES AND COSTS
Class counsel shall be entitled to reasonable attorneys' fees, for attorneys, paralegals, and law clerks, and costs on a current rate basis for all time reasonably incurred in administering, monitoring, enforcing, modifying, and defending this Decree, but class counsel shall not be entitled to any multiplier on such attorney's fees and costs.  (Page, 30)","no exhibits are included (Exhibit 1 provides criteria for hiring, similar to Byrd Decree case which is listed as a special issue.  hopefully we can get our hands on it for the repository) LG 

version 1 is the injunctive Relief, version 2 is the monetary relief",2011-08-01 16:17:55.650000000,2015-08-03 16:02:36.057000000,,False,
194,http://digitalcommons.ilr.cornell.edu/condec/190/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1189&amp;context=condec,2-06-CV-0045-RSM-1,9th,United States District Court Western District of Washington at Seattle,Washington,False,,Ricardo S. Martinez,Ricardo,S.,Martinez,,2006,2006-05-31 00:00:00,2010,2010,2010-03-09 00:00:00,2:06-CV-0045-RSM,1,"EEOC v. Les Schwab Tire Centers of Washington, et al.",2010-03-10 00:00:00,,4,"VII.     DURATION OF THE CONSENT DECREE 
22. This Consent Decree will become effective on the date approved and entered by the United States District Court for the Western District of Washington, and it will remain in effect for a period of four years.  If the EEOC petitions the Court for violation of terms of the Consent Decree, and the Court finds a violation, the Court may extend the duration of the Decree.  (Page, 12)",,,2011-08-03 09:48:00.067000000,2017-07-19 09:58:59.293000000,,False,
195,http://digitalcommons.ilr.cornell.edu/condec/193/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1190&amp;context=condec,SA-04-CA-0573-WWJ-1,5th,United States District Court for the Western District of Texas,Texas,False,,William Wayne Justice,William,Wayne,Justice,,2004,2004-07-01 00:00:00,2005,2005,2005-08-11 00:00:00,SA-04-CA-0573-WWJ,1,"EEOC v. Pass and Seymour, Inc. and Kennmark Group, Ltd. (Consent Decree as to Kennmark Group)",2005-08-11 00:00:00,,5,"4. The duration of this Decree shall be five (5) years from the date of entry by the Court and in any case shall not expire until Kennmark makes its last payment as required by Paragraph 9 of this Decree.  (Page, 2)","12. The parties to this Consent Decree shall bear their own costs and attorney�s fees incurred in this action as of the date of this Consent Decree. The parties agree that, pursuant to Section 706(k) of Title VII, 42 U.S.C. section 2000e-5(k), there is no �prevailing party� in this action or proceeding.  (Page, 4)","version 1 is consent decree as to defendant Kennmark group ltd, version 2 is consent decree as to defendant pass & seymour

bloomberg docket is confusing, what are the filed and signed dates?:

25 June 02, 2005  20  Order granting joint motion to enter consent decree as to defendant Pass & Seymour [18-1] signed by Judge William W. Justice (tm) (Entered: 06/06/2005) 
26 June 02, 2005  21  Final Judgment and order entering consent decree as to defendant Pass & Seymour, Inc. signed by Judge William W. Justice (Pages: 2) (tm) (Entered: 06/06/2005) 
27 June 24, 2005  22  Order granting joint motion to enter consent decree as to defendant Kennmark Group, LTD [19-1] signed by Judge William W. Justice (tm) (Entered: 06/28/2005) 
28 Aug. 11, 2005  23  Final Judgment and Order entering consent decree as to defedant Kennmark Group, LTD signed by Judge William W. Justice (tm) (Entered: 08/12/2005)",2011-08-03 16:18:28.263000000,2013-01-13 09:29:12.017000000,lg338,False,
196,http://digitalcommons.ilr.cornell.edu/condec/192/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1191&amp;context=condec,SA-04-CA-0573-WWJ-2,5th,United States District Court for the Western District of Texas San Antonio Division,Texas,False,,William Wayne Justice,William,Wayne,Justice,,2004,2004-07-01 00:00:00,2005,2005,2005-06-02 00:00:00,SA-04-CA-0573-WWJ,2,"EEOC v. Pass & Seymour, Inc. and Kennmark Group, Ltd. (Consent Decree as to Pass and Seymour)",2005-06-02 00:00:00,,3,"5. This Decree shall remain in effect for three (3) years from the date of entry by the Court, and shall expire at the end of the 3-year term without further action by the Court or the parties to effect the Consent Decree�s termination.  (Page, 3)","At the expiration of the Consent Decree the parties will submit to the Court a Joint Stipulation dismissing the action against Pass & Seymour with prejudice, each party to bear its own costs and fees.  (Page, 3)

13. The parties to this Consent Decree shall bear their own costs and attorney's fees incurred in this action as of the date of entry of this Consent Decree by the Court. The parties agree that, pursuant to Section 706(k) of Title VII, 42 U.S.C. Section 2000e-5(k), there is no ""prevailing party"" in this action or proceeding.  (Page, 6)",,2011-08-03 16:42:26.920000000,2013-01-13 09:27:32.203000000,lg338,False,
197,http://digitalcommons.ilr.cornell.edu/condec/191/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1192&amp;context=condec,CV-07-06169-SJO-AJWx-CV-07-05916-PA-RCx-1,9th,United States District Court for the Central District of California,California,False,,Margaret A. Nagle,Margaret,A.,Nagle,,2007,2007-09-12 00:00:00,2009,2010,2009-12-14 00:00:00,CV 07-06169 SJO (AJWx); CV 07-05916 PA (RCx),1,"EEOC v. Landwin Management, Inc. d/b/a San Gabriel Hilton, et al.",2010-01-29 00:00:00,"A. The provisions and agreements contained herein are effective immediately upon the date which this Decree is entered by the Court (""the Effective Date"").  (Page, 4)",3,"B. The duration of this Consent Decree shall be 3 (three) years from the date of the Effective Date.  (Page, 4)","XII.
COSTS AND ATTORNEY'S FEES
Each party shall bear its own costs of suit and attorneys' fees.  (Page, 18)",,2011-08-04 15:43:26.713000000,2011-10-09 00:32:32.287000000,ic225,False,
198,http://digitalcommons.ilr.cornell.edu/condec/194/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1193&amp;context=condec,06-cv-01273-CMA-BNB-1,10th,United States District Court for the District of Colorado,Colorado,False,,Christine M. Arguello,Christine,M.,Arguello,,Unknown,,2009,2009,2009-12-14 00:00:00,06-cv-01273 CMA-BNB,1,"EEOC, Adams et al v. Albertson LLC, f/k/a Albertsons, Inc.",2009-12-14 00:00:00,"21. Effective Date -The date on which the Court gives final approval to the Decree, after hearing, if required. In the event the Distribution Center is purchased or leased by a Covered Buyer (as defined herein), the terms of this Decree shall take effect as to the Covered Buyer when the Covered Buyer takes possession of the Distribution Center.  (Page, 7)",4,"32. Term of Consent Decree -This Consent Decree shall remain in effect for four (4) years from the Effective Date hereof; provided, however, that this Consent Decree shall not apply to any third party purchaser or lessee of the Distribution Center unless such purchaser or lessee is a Covered Buyer as set forth herein.","37.2.6 Fees and Costs Associated with Informal Resolution - The Parties shall each bear their own attorney's fees and costs associated with informal resolution efforts.  (Page, 14)

76.6 Fees and Costs Associated with Informal Resolution and Enforcement - The Parties shall each bear its own attorney's fees and costs associated with such informal resolution efforts.  (Page, 45)


79. Attorney Fees and Costs - EEOC and Albertson's shall each bear its own costs and attorneys' fees associated with the Actions. Payment to Eligible Class Members, including payment to members of the Represented Group, from the Class Settlement Fund shall be in full and final settlement of all monetary claims, including attorneys' fees and costs. Any and all claims for attorneys' fees and costs by any Eligible Class Member, including members of the Represented Group, shall be waived and released.  (Page, 45)","PDM, 8/3/11",2011-08-04 18:24:41.660000000,2011-10-09 18:48:33.383000000,ic225,False,
199,http://digitalcommons.ilr.cornell.edu/condec/495/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1524&amp;context=condec,03-Z-1663-PAC-03-Z-0984-PAC-1,10th,United States District Court for the District of Colorado,Colorado,False,,Judge Zita L. Weinshienk,,Judge Zita,L.,Weinshienk,Unknown,,2005,2005,2005-05-19 00:00:00,03-Z-1663 (PAC); 03-Z-0984 (PAC),1,EEOC and Arellano v. Hamilton Sundstrand Corporation,2005-05-19 00:00:00,"The Effective Date of this Consent Decree is the date on 
which the Court gives final approval to the Consent Decree (Page, 4)",2,"This Consent Decree shall remain in effect for two (2) years subsequent to the Effective Date, or until Hamilton Sundstrand's Junction facility closes if such closure takes place before two (2) years. (Page, 4-5)","This Consent Decree resolves all claims alleged in this lawsuit, including 
backpay, front pay, compensatory and punitive damages, interest, injunctive relief,  attorneys' fees and costs and any other claims that may be raised out of the issues in  this lawsuit. (Page, 2)",,2011-08-05 12:14:27.110000000,2015-08-03 12:12:38.600000000,,False,
200,http://digitalcommons.ilr.cornell.edu/condec/195/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1194&amp;context=condec,SA-99-CV-1090OG-1,5th,United States District Court for the Western District of Texas San Antonio Division,Texas,False,,Orlando Garcia,Orlando,,Garcia,,1999,1999-09-30 00:00:00,2001,2001,2001-04-19 00:00:00,SA-99-CV-1090OG,1,EEOC v. University of the Incarnate Word,2001-04-19 00:00:00,,3,"Should any disputes under this Decree remain unresolved after this three year period, the term of the Decree shall be automatically extended (and the Court will retain jurisdiction of this matter to enforce the Consent Decree) until such time as all disputes have been resolved. (Page, 3)","Private attorney Frank Gonzalez shall be paid $100,000.00 from the first disbursement of the settlement award/fund as full consideration and compensation for any and all services he and/or his associates rendered on behalf of any and all of the Eligible Claimants on whose behalf the above referenced civil action was filed and litigated by the EEOC. In consideration of this $100,000.00 payment, Frank Gonzalez shall also prepare and execute full and final releases of any and all claims and/or causes of action that he may have against each of these Eligible Claimants, the EEOC, Coregis Insurance Co., and the University of the Incarnate Word. Frank Gonzalez� release is attached hereto as Exhibit A.  (Page, 8)

29. The parties to this Decree shall bear their own costs and attorney�s fees, except as provided in paragraphs 24 and 28.  (Page, 22)","15. In consideration thereof, each Eligible Claimant shall execute a release of claims, a copy of which is attached hereto as Exhibit B.  (Page, 18)  

Note:  This provision is not included in the consent decree filed into court",2011-08-05 14:21:57.380000000,2011-10-09 15:04:26.157000000,ic225,False,
202,http://digitalcommons.ilr.cornell.edu/condec/198/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1198&amp;context=condec,C-06-3903-1,9th,United States District Court for the Northern District of California,California,True,,,,,,,2006,2006-06-22 00:00:00,2008,Unknown,2008-02-07 00:00:00,C-06-3903,1,Jaffe et al v. Morgan Stanley & Co.,,"16. �Effective Date� means the date on which all of the following have 
occurred: (1) the Court has finally approved this Settlement Agreement and has signed and entered an order so indicating; (2) the Court has entered an Order and Judgment dismissing the Action with prejudice, with continuing jurisdiction limited to enforcing this Settlement Agreement; and (3) the time for appeal has either run without an appeal being filed or any appeal (including any requests for rehearing en banc, petitions for certiorari or appellate review) has been finally resolved.  (Pages, 6-7)",5,"B. Duration of the Settlement.  The programmatic relief embodied in this Settlement Agreement and the agreements incorporated in it shall remain binding on the parties and their agents and successors for a five-year period following the Effective Date.  (Page, 9)","(b) all attorneys� fees and costs awarded by the Court, including those in connection with securing court approval of the Settlement, the claims process and monitoring the Settlement Agreement, other than fees and costs awarded in connection with any successful proceeding to enforce the terms of this Settlement Agreement  (Page, 37)

XII. ATTORNEYS� FEES AND EXPENSES OF CLASS COUNSEL.   
As discussed above in Section VIII.A., all of Class Counsel�s fees and costs, including those in connection with securing Court approval of this Settlement Agreement, the claims process and any monitoring of this Settlement Agreement, shall be paid from the Settlement Fund, following approval of those attorney�s fees and costs by the Court.  Morgan Stanley shall not oppose Class Counsel�s request for an award of attorneys� fees and expenses in the amount of $800,000, plus $150,000 per year during the five-year term of the Settlement to cover future fees and expenses relating to monitoring and enforcing the Settlement, plus interest accruing on all fees and expenses from the date on which the Settlement is funded until such fees and expenses are disbursed to Class Counsel.  (Page, 51)","Entered 8/5/11-8/8/11, PDM",2011-08-05 15:20:04.533000000,2011-10-09 20:40:26.100000000,ic225,False,
203,http://digitalcommons.ilr.cornell.edu/condec/197/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1195&amp;context=condec,CIV-07-1710-PHX-EHC-1,9th,United States District Court for the District of Arizona,Arizona,False,,Earl H. Carroll,Earl,H.,Carroll,,Unknown,,2010,2010,2010-04-12 00:00:00,CIV-07-1710-PHX-EHC,1,"EEOC v. Cannon & Wendt Electric Co., Inc.",2010-04-09 00:00:00,,3,"Should the Court determine that Defendant has not complied with this decree, appropriate relief, including extension of this decree for such period as may be necessary to remedy its non-compliance, may be ordered.  (Page, 10)

24. This decree shall expire by its own terms at the end of three (3) years after entry, without further action by the parties.  (Page, 10)","22. Each party shall bear its costs and attorney's fees incurred as a result of this action through the entry of this decree.  (Page, 10)",,2011-08-05 16:01:00.060000000,2011-10-08 23:30:45.873000000,ic225,False,
204,http://digitalcommons.ilr.cornell.edu/condec/196/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1196&amp;context=condec,2-08-cv-00397-BSJ-1,10th,"United States District Court for the Central District of Utah, Central Division",Utah,False,,Bruce S. Jenkins,Bruce,S.,Jenkins,,Unknown,,2009,2009,2009-10-27 00:00:00,2:08-cv-00397-BSJ,1,"EEOC v. Tim Dahle Imports, Inc.",2009-10-26 00:00:00,,4,"Should the Court determine that Defendant has not complied with this Decree, appropriate relief, including extension of this Decree for such a period as may be necessary to remedy Defendant's non-compliance, may be ordered. This Decree shall expire by its own terms at the end of forty-eight (48) months from the date of entry, without further action by the parties. (Page, 10)","26. Each party shall bear its costs and attorney's fees incurred as a result of this action through the filing of this Decree.  (Page, 10)",,2011-08-05 17:03:18.683000000,2011-09-12 21:27:39.330000000,ic225,False,
205,http://digitalcommons.ilr.cornell.edu/condec/199/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1197&amp;context=condec,08-CV-8023-1,2nd,United States District Court for Southern District of New York,New York,False,,Paul G. Gardephe,Paul,G.,Gardephe,,2011,2011-08-08 00:00:00,2009,2009,2009-08-07 00:00:00,08-CV-8023,1,"EEOC v. Grand Central Partnership, Inc.",2009-08-06 00:00:00,,3,"29. This Decree will not expire while any enforcement action concerning this Decree is pending.  (Page, 10)

33. This Decree will remain in effect for 2.5 years from the date of entry.  (Page, 10)",,,2011-08-08 12:13:13.860000000,2011-09-12 22:00:12.577000000,ic225,False,
206,http://digitalcommons.ilr.cornell.edu/condec/200/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1199&amp;context=condec,01-CV-03822-WHW-1,3rd,United States District Court for the District of New Jersey,New Jersey,False,,William H. Wales,William,H.,Wales,,2001,2001-08-13 00:00:00,2003,2003,2003-09-10 00:00:00,01-CV-03822(WHW),1,"EEOC v. Control Building Services, Inc.",2003-09-10 00:00:00,,2,"26. This Consent Decree shall be tiled in the United States District Court for the District of New Jersey and shall continue in effect for two years. During this time, this Court shall retain jurisdiction over this matter and the parties for purposes of enforcing compliance with the Decree, including issuing such orders as may be required to effectuate its purposes. Any application by any party to modify or vacate this Consent Decree during such period shall be made by motion to the Court on no less than 30 days' notice to the other party. Should any material disputes under this Decree remain unresolved after this two-year period, the term of the Decree shall be automatically extended (and the Court will retain jurisdiction of this matter to enforce the Consent Decree) until such time as all disputes have been resolved.  (Page, 13)","25. Each party to this Decree shall bear its own expenses, costs and attorneys' fees.  (Page, 12)","Leighann had me remove version 1 of this decree, so I manually changed this one from version 2 to version 1.     Caroline",2011-08-08 15:13:34.840000000,2011-10-09 16:31:32.980000000,ic225,False,
207,http://digitalcommons.ilr.cornell.edu/condec/202/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1200&amp;context=condec,07-9241-HB-KNF-1,2nd,United States District Court Southern District of New York,New York,False,,Harold Baer,Harold,,Baer,,2007,2007-10-15 00:00:00,2009,2009,2009-03-18 00:00:00,07-9241 (HB) (KNF),1,EEOC v. B & H Foto & Electronics Corp.,2009-03-17 00:00:00,,5,"C. This Decree shall remain in effect for five (5) years from the Preliminary Approval Date and shall expire five (5) years from that date.  (Page, 6)","Section 504 Non-Payment of Attorneys' Fees and Costs
The Parties agree not to seek any interest, fees or costs from the Court, and agree to be responsible for the payment of their own attorneys' fees, costs and disbursements incurred in connection with this action.","""This Decree also in no way affects B & H's separate agreement with Association Mexico Americana De Trabajadores (""AMAT'), which separately resolved all issues between B & H and AMAT.""----> Excerpt from page 5.  Are these also consent decrees???  LG",2011-08-08 16:47:32.640000000,2011-10-08 23:57:13.063000000,ic225,False,
208,http://digitalcommons.ilr.cornell.edu/condec/212/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1211&amp;context=condec,01-CIV-8421-RMB-1,2nd,United States District Court Southern District of New York,New York,False,,Richard M. Berman,Richard,M.,Berman,,2001,2001-09-10 00:00:00,2004,2004,2004-07-15 00:00:00,01-CIV-8421 (RMB),1,"EEOC and Allison Schieffelin v. Morgan Stanley & Co, Inc, and Morgan Stanley Dean Witter & Co.",2004-07-12 00:00:00,,3,"4. This Consent Decree shall remain in effect for three years from the date of its entry.  (Page, 3)","19. Morgan Stanley shall provide any claimant for whom the Court approves an award an additional $1,000 that may be used for attorney's fees to seek legal advice regarding the effect of signing the required release. This sum shall be paid from monies other than the Total Settlement Amount. Except for this $1,000 payment and the employer's portion of any taxes as mandated by law, Morgan Stanley is not responsible for any other fees or expenses incurred by claimants or EEOC in connection with the Claims Process.  (Page, 6)

55. Except as otherwise provided pursuant to this Consent Decree, and in the Stipulation of Settlement between Morgan Stanley and Schieffelin, each party shall bear its own attorneys' fees and costs incurred in this action.  (Page, 18)",,2011-08-08 18:32:34.403000000,2015-08-03 11:20:39.673000000,,False,
209,http://digitalcommons.ilr.cornell.edu/condec/201/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1201&amp;context=condec,7-00cv00757-1,4th,United States District Court for the Western District of Virginia Roanoke Division,Virginia,False,,Jackson L. Kiser,Jackson,L.,Kiser,,1996,1996-10-01 00:00:00,2002,2002,2002-02-20 00:00:00,7:00cv00757,1,EEOC v. Optical Cable Corporation,2002-02-20 00:00:00,"This Decree shall become effective on the date of its entry by the Court.  (Page, 3)",3,"The Decree shall remain in effect for three (3) years from that date.  (Pages, 3-4)",,,2011-08-09 12:31:01.643000000,2011-10-08 19:58:42.637000000,ic225,False,
210,http://digitalcommons.ilr.cornell.edu/condec/203/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1202&amp;context=condec,09-04424-1,3rd,United States District Court for the Eastern District of Pennsylvania,Pennsylvania,False,,R. Barclay Surrick,R.,Barclay,Surrick,,Unknown,,2009,2010,2009-09-29 00:00:00,09-04424,1,"EEOC v. Vanguard Group, Inc.",2010-01-04 00:00:00,,2,"18. This Consent Decree shall be filed in the United States District Court for the Eastern District of Pennsylvania and shall continue to be in effect for a period of two years. Any application by any party to modify or vacate this Consent Decree during such period shall be made by motion to the Court on no less than thirty days notice to the other party.  (Page, 5)","15. Each party to this Decree shall bear its own expenses, costs and attorneys' fees.  (Page, 5)","Entered by PDM, 8/9/11",2011-08-09 18:01:56.917000000,2015-08-03 14:28:39.127000000,,False,
211,http://digitalcommons.ilr.cornell.edu/condec/204/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1204&amp;context=condec,93-CIV-5969-CSH-1,2nd,United States District Court Southern District of New York,New York,False,,Charles S. Haight,Charles,S.,Haight,,1993,1993-08-25 00:00:00,1996,Unknown,1996-10-31 00:00:00,93 CIV 5969 (CSH),1,"EEOC v. Smith Limousine Co., Inc.",,"This Consent Decree shall become effective upon the date it is signed by the Court, and such date shall hereinafter be referred to as the Effective Date.  (Page, 2)",3,,"Each party shall bear its own costs.  (Page, 6)",,2011-08-10 13:09:54.320000000,2011-10-08 20:27:39.460000000,ic225,False,
212,http://digitalcommons.ilr.cornell.edu/condec/205/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1203&amp;context=condec,EDCV-03-01117-RT-SGL-1,9th,United States District Court Central District of California,California,False,,Robert J. Timlin,Robert,J.,Timlin,,2003,2003-09-05 00:00:00,2005,2005,2005-06-14 00:00:00,EDCV 03-01117 RT (SGL),1,"EEOC v. Rivera Vineyards, Inc. d/b/a Blas Rivera Vineyards, et al.",2005-06-14 00:00:00,"A. The provisions and agreements contained herein are effective immediately upon the date which this Decree is entered by the Court (""Effective Date"").  (Page, 5)",3,"B. This Decree shall remain in effect until the Defendants fully pay the monies owed under this Decree or three (3) years from the Effective Date, whichever is later. The term of the Decree shall be no less than three (3) years from the Effective Date.  (Page, 5)

Should the Court determine that the Defendants have not complied with this Decree, in whole or in part, it may impose appropriate relief, including but not limited to the imposition of attorneys' fees and costs on the Defendants and extension of the duration of this Decree for such a period as may be necessary to remedy the Defendants' noncompliance.  (Page, 27)","Should the Court determine that the Defendants have not complied with this Decree, in whole or in part, it may impose appropriate relief, including but not limited to the imposition of attorneys' fees and costs on the Defendants and extension of the duration of this Decree for such a period as may be necessary to remedy the Defendants' noncompliance.  (Page, 27)

Each party shall bear its own costs of suit and attorneys' fees.  (Page, 28)",,2011-08-10 16:01:39.367000000,2011-10-09 18:06:34.367000000,ic225,False,
214,http://digitalcommons.ilr.cornell.edu/condec/206/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1205&amp;context=condec,07-c-5110-1,7th,United States District Court for the Northern District of Illinois Eastern Division,Illinois,False,,Jonn Darrah,Jonn,,Darrah,,2007,2007-09-11 00:00:00,2008,2008,2008-05-20 00:00:00,07 c 5110,1,EEOC v. Ralphs Grocery Co.,2008-05-20 00:00:00,,2,"DURATION OF THE DECREE AND RETENTION OF JURISDICTION 
24. All provisions of this Decree shall be in effect (and the Court will retain jurisdiction of this matter to enforce this Decree) for a period of two (2) years immediately following entry of the Decree, provided, however, that if, at the end of the two (2) year period, any disputes under Paragraph 23, above, remain unresolved, the term of the Decree shall be automatically extended (and the Court will retain jurisdiction of this matter to enforce the Decree) until such time as all such disputes have been resolved.  (Page, 8)","25. Each party to this Decree shall bear its own expenses, attorneys' fees, and costs.  (Page, 8)","PDM, 8/11/11",2011-08-11 10:41:17.340000000,2011-09-03 23:43:55.883000000,ic225,False,
215,http://digitalcommons.ilr.cornell.edu/condec/207/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1206&amp;context=condec,92-CIV-6548-RPP-1,2nd,United States District Court for the Southern District of New York,New York,False,,Robert P. Patterson,Robert,P.,Patterson,,1992,1992-09-02 00:00:00,1995,1995,1995-04-11 00:00:00,92 CIV. 6548 (RPP),1,EEOC v. New York Times Co. and New York Newspaper Printing Pressmen's Union No. 2,1995-04-11 00:00:00,,10,"Duration of Decree and Retention of Jurisdiction
9. This Decree shall remain in effect UNTIL THE REPRESENTATION OF MINORITIES IN THE CATEGORY OF JUNIOR PRESSMEN REACHES A GOAL OF FORTY PERCENT (40%). THIS DECREE WILL BE SUBJECT TO RENEWAL BASED UPON THE REVIEW OF THE GOAL TO COMPORT WITH CHANGING AVAILABILITY EVERY FIVE (5) YEARS.  (Pages, 5-6)","Attorneys Fees and Costs
18. Each party shall bear its own attorneys fees and costs incurred in this action.","I listed 10 years as the duration because there is no clear duration within the consent decree.  Proposed consent decree filed 9/21/1994 (which I think is what we have).  The ""consent order/decree"" was filed on April 11, 1995 (not sure of actual signed date; also, decree was amended after) according to the docket on bloomberg (couldn't request this copy from bloomberg).  the case was closed on 7/18/2005 (hence 10 years).  I put all docket proceedings with the words ""consent decree"" or ""consent order"" in other special issues because there are so many issues with this decree.  EEOC also did a report on the consent decree in june of 2005.  would be nice if we could get it... LG",2011-08-11 11:52:24.847000000,2013-01-11 16:53:39.787000000,lg338,False,
216,http://digitalcommons.ilr.cornell.edu/condec/209/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1208&amp;context=condec,3-99-cv-722-J-33MCR-1,11th,United States District Court Middle District of Florida Jacksonville Division,Florida,False,,Virginia M. Hernandez Covington,Virginia,M.,Hernandez Covington,,1999,1999-07-16 00:00:00,2007,2007,2007-06-27 00:00:00,3:99-cv-722-J-33MCR,1,"Dorman v. Winn-Dixie Stores, Inc.",2007-06-27 00:00:00,"H. ""Final Approval"" means the signing of this Amended Decree on the Approval Date by the United States District Court for the Middle District of Florida, and either: (1) the expiration of the time for filing of a direct appeal from the Court's approval of the Decree without the filing of a notice of appeal, or (2) if a timely direct appeal is filed, the final resolution of that appeal (including any requests for rehearing and/or petitions for certiorari), resulting in final judicial approval of the Amended Decree.
I. ""Final Approval Date"" is the date upon which Final Approval of this Amended Decree is attained, as set forth in � III.H., above.  (Page, 4)

A. Unless provided otherwise, the provisions of this Amended Consent Decree are effective for five (5) years following the Approval Date.  (Page, 7)",5,"The Consent Decree was set to expire on February 26, 2007, but this Court has extended the Consent Decree until June 30, 2007. (See Docket Nos. 92, 94 and 96.)  (Pages, 1-2) 

A. Unless provided otherwise, the provisions of this Amended Consent Decree are effective for five (5) years following the Approval Date.
1. Unless earlier terminated by the Court pursuant to Section VI.A.2, or unless an extension is granted by the Court pursuant to Section VI.A.3, this Amended Decree shall expire without further action by the parties at midnight on the fifth anniversary of the Approval Date.",,"this is the decree extending the obligations of the other Dorman v. Winn-Dixie Decree that we have.

lawyers made a mistake in their math, not sure what total settlement funds is.  see claims admin for breakdown",2011-08-11 15:32:35.900000000,2011-10-09 17:22:15.407000000,ic225,False,
217,http://digitalcommons.ilr.cornell.edu/condec/210/,http://digitalcommons.ilr.cornell.edu/cgi/viewcontent.cgi?article=1209&amp;context=condec,1-03-cv-00126-WYD-BNB-04-cv-1776-WYD-BNB-1,10th,United States District Court for the District of Colorado,Colorado,False,,Wiley Y. Daniel,Wiley,Y.,Daniel,,2004,2004-08-25 00:00:00,2004,2004,2004-09-29 00:00:00,1:03-cv-00126-WYD -BNB; 04-cv-1776-WYD-BNB,1,"EEOC v. Home Depot USA, Inc.; Thompson v. Home Depot USA, Inc.",2004-09-29 00:00:00,7. Effective Date:  The Effective Date of the Decree is the date on which it is approved by the Court.,3,"18. Term of the Decree:  The Consent Decree shall remain in effect for thirty (30) months subsequent to the Effective Date, suconsent decree to extend its terms.  (Page, 3)","54. Attorney Fees And Costs:  The EEOC and Home Depot shall bear their own costs and attorneys� fees associated with this litigation and neither shall seek reimbursement for any investigative and/or litigation costs, fees, or expenses in this matter.  (Page, 19)","The court history is spotty and confusing, and it is hard to tell for which case this consent decree was made. See special issues. -PDM

also, no court dockets on clearinghouse or bloomberglaw 01/11/13",2011-08-11 15:39:01.617000000,2015-08-03 13:07:05.127000000,,False,
